name,iso,natural,conflict,socioecon,vuln,institutional,infra
Panama,PAN,5.3,0.1,2.8,1.7,4.9,3.2
Papua New Guinea,PNG,5.8,3.5,5.4,4.2,6.8,8.3
Paraguay,PRY,2,1.8,3.6,0.8,5.3,3.4
Peru,PER,7,1.7,3.7,3.6,4.7,4.2
Philippines,PHL,8.5,9,3.8,5.1,4.7,3.8
Poland,POL,2.3,0.3,1.2,1.8,4.1,1.4
Portugal,PRT,3.9,0,1.3,1,2.9,0.9
Qatar,QAT,1.2,0.1,2.5,0.7,4.2,0.4
Romania,ROU,4.5,3.7,1.8,1.5,4.6,2.4
Russian Federation,RUS,6.3,6.9,2.1,3.3,6.3,2.3
Rwanda,RWA,3,4.7,7,5.8,3.9,6.1
Saint Kitts and Nevis,KNA,2,0,2.3,0.5,4.4,1.8
Saint Lucia,LCA,2,0,2.6,0.8,5,2.6
Saint Vincent and the Grenadines,VCT,1.2,0,3,1.4,4.4,2.9
Samoa,WSM,2.9,0,5.4,0.3,4.3,4
Sao Tome and Principe,STP,0.1,0.3,6.5,1.6,5.9,4.2
Saudi Arabia,SAU,2.3,4.1,1.7,0.3,4.8,2
Senegal,SEN,4.4,2.7,6.1,3.8,5.2,6.2
Serbia,SRB,4.8,3.9,1.7,3.2,5.2,2.3
Seychelles,SYC,2.9,0,2.5,0.8,4.3,2.6
Sierra Leone,SLE,2.7,4.6,7.5,3.4,5.4,8.2
Singapore,SGP,0.1,0.1,0.4,0.3,1.2,0.9
Slovakia,SVK,3.3,0.1,1.2,1,3.8,1.1
Slovenia,SVN,3.9,0,0.6,0.9,2.2,1.2
Solomon Islands,SLB,5.8,0.8,7.2,1.1,6.6,6.4
Somalia,SOM,7,10,9.5,8.8,9.3,8.6
South Africa,ZAF,4.7,5.3,4.7,4.4,4.5,4.2
South Sudan,SDS,3.3,10,9.5,8.9,9.2,9.3
Spain,ESP,4.6,2,1,2.1,2.9,0.7
Sri Lanka,LKA,5.1,1,2.6,4.1,4.7,3.4
Sudan,SDN,4.1,9,5.7,7.9,6.5,7.4
Suriname,SUR,3.6,0.1,3.9,1.3,5.8,3.7
Swaziland,SWZ,2.3,0.1,5.9,4.3,5.3,5.2
Sweden,SWE,1,0.1,0.5,4.9,2,0.9
Switzerland,CHE,1.8,0.1,0.4,3.9,1.1,0.6
Syria,SYR,5.3,10,6.7,8,6.6,4.6
Tajikistan,TJK,6,5,3.8,2.8,6.1,4
Tanzania,TZA,4.7,4.7,6,5.8,4.9,7.5
Thailand,THA,6.4,4.1,2.5,4.1,5,2.9
The former Yugoslav Republic of Macedonia,MKD,3.2,3.9,2.8,1.2,4.8,2.6
Timor-Leste,TLS,4,2.4,5.7,3.3,6.5,6.4
Togo,TGO,1.6,2.8,6.1,3.5,8.1,7.3
Tonga,TON,3.9,0.1,5.8,3.4,5.7,3.1
Trinidad and Tobago,TTO,1.9,0.2,2.4,1.2,4.9,1.8
Tunisia,TUN,4.6,3.2,2.7,0.8,6,3.3
Turkey,TUR,5.9,8,2.6,6.9,3.8,2.6
Turkmenistan,TKM,4.9,1.6,2.7,1,7.7,4.2
Tuvalu,TUV,2.8,0.1,7.3,1.3,6.9,3.4
Uganda,UGA,3.3,6.6,6.5,7.3,6.8,7
Ukraine,UKR,3.1,9,1.7,5.7,6.6,2.8
United Arab Emirates,ARE,5.8,0.1,1.6,0.8,2.4,1.3
United Kingdom,GBR,2.4,2.9,0.8,3.3,2,0.9
United States of America,USA,7,6.6,1.1,4.2,2.7,1.5
Uruguay,URY,1.3,0,2.2,1,3.8,1.8
Uzbekistan,UZB,6.1,3.5,3,0.6,4.8,3.3
Vanuatu,VUT,4.6,0.1,6.7,0.9,5.9,6
Venezuela,VEN,6,5.7,2.9,4,5.2,3.5
Viet Nam,VNM,7.3,3.2,3.3,1.3,5,3.4
Yemen,YEM,2.9,10,6.9,8,8.5,7.1
Zambia,ZMB,2.3,1.7,6.3,5.5,4.9,6.5
Zimbabwe,ZWE,4.6,4.8,6,4.3,5.1,6.3
