name,iso,natural,conflict,socioecon,vuln,institutional,infra
Qatar,QAT,1,0.1,2.5,0.7,4.2,0.4
Romania,ROU,4.6,2.5,1.8,1.4,4.6,2.4
Russian Federation,RUS,6.3,6.8,2.1,3.6,6.3,2.2
Rwanda,RWA,3.1,4.6,5.9,5.8,3.9,6.1
Saint Kitts and Nevis,KNA,1.7,0,1.9,0.5,4.4,1.9
Saint Lucia,LCA,1.8,0,2.3,0.8,5,2.6
Saint Vincent and the Grenadines,VCT,1,0,2.7,3.1,4.4,2.8
Samoa,WSM,2.7,0.1,5.4,0.3,4.3,4
Sao Tome and Principe,STP,0.1,0.4,5.2,1.6,5.9,4.1
Saudi Arabia,SAU,2.3,4.1,1.7,2.5,4.8,2.2
Senegal,SEN,4.3,2.3,5,3.9,5.2,6.2
Serbia,SRB,4.6,3.9,1.5,3.2,5.2,2.3
Seychelles,SYC,2.5,0,2.5,0.8,4.3,2.6
Sierra Leone,SLE,2.3,4.8,7,3.4,5.4,8.3
Singapore,SGP,0.1,0.1,0.4,0.3,1.2,1
Slovakia,SVK,3.3,0.1,1.2,1,3.8,1
Slovenia,SVN,3.7,0,0.6,0.9,2.2,1.2
Solomon Islands,SLB,5.3,0.6,7.2,1.4,6.6,6.5
Somalia,SOM,6.8,10,9.4,9.3,9.3,8.7
South Africa,ZAF,4.4,5.4,3.3,4.3,4.5,4.1
South Sudan,SDS,3.8,10,9.3,9.3,9.2,9.4
Spain,ESP,4.4,3.9,1,2,2.9,0.7
Sri Lanka,LKA,4.9,1.1,2.6,4.7,4.7,3.4
Sudan,SDN,3.9,9,4.7,8.3,6.5,7.4
Suriname,SUR,3.4,0.1,2.6,0.9,5.8,3.6
Swaziland,SWZ,2.2,0.1,4.5,4.9,5.3,5.5
Sweden,SWE,1.1,0.2,0.5,4.9,2,0.9
Switzerland,CHE,1.8,0.1,0.4,3.8,1.1,0.6
Syria,SYR,5.1,10,5.7,8,6.6,4.6
Tajikistan,TJK,6,4.9,2.6,2.8,6.1,4
Tanzania,TZA,4.6,4.8,5.1,5.9,4.9,7.6
Thailand,THA,6.3,3.9,2,4.5,5,2.8
The former Yugoslav Republic of Macedonia,MKD,3.3,4.1,2.1,1.5,4.8,2.6
Timor-Leste,TLS,3.8,1.3,4.6,3.6,6.5,6.6
Togo,TGO,1.6,4.1,5,3.6,8.1,7.3
Tonga,TON,2.2,0.1,5.8,0.8,5.7,3.1
Trinidad and Tobago,TTO,1.9,0.2,1.8,1.2,4.9,1.9
Tunisia,TUN,4.5,3.2,2,0.8,6,3.3
